"RPPS","Ano","Eff_ch","Tech_ch","Malmquist"
"PIRACAIA_SP",2022,0.0311176909811554,13.7212921298845,0.426974928359905
"POSSE_GO",2022,0.610447655172195,1.39821721357772,0.85353841944992
"QUEIMADOS_RJ",2022,0.124810833710038,9.80886631177364,1.22425278212277
"RIACHINHO_MG",2022,1.2401954509648,0.503232647202844,0.624106839837942
"RIBEIRAO PIRES_SP",2022,0.757498750151316,1.25363573025,0.949627498809406
"RIO BRILHANTE_MS",2022,0.281271114874392,7.63362961108116,2.14711951124697
"RIO NEGRINHO_SC",2022,0.430542199563992,7.80038566660923,3.35839520234937
"SAGRADA FAMILIA_RS",2022,1.78793143169527,0.503232647202845,0.899745467389181
"SANTA FE DO SUL_SP",2022,0.227429770122085,9.60690988193208,2.1848973060314
"SANTA MARIA DE JETIBA_ES",2022,0.514261239807102,3.98091100900565,2.04722823105299
"SANTANA DO CARIRI_CE",2022,0.865649585345399,0.704877466255027,0.61017688638298
"SANTO ANDRE_SP",2022,1.04904041207145,0,0
"SANTO ANTONIO DA PATRULHA_RS",2022,0.221074526820666,7.25110885147444,1.60303545826486
"SAO FRANCISCO DE ASSIS_RS",2022,0.588301261468689,1.77003494190575,1.04131378916681
"SAO JOAO DA LAGOA_MG",2022,1.50483259633428,0.503232647202842,0.757280891050428
"SAO MANUEL_SP",2022,0.568920626948236,1.63117932978953,0.928011566968863
"SERRA CAIADA (ANTIGO PRESIDENTE JUSCELINO)_RN",2022,1.77103915327929,0.50323264720284,0.891244721404614
"SOLONOPOLE_CE",2022,1.50391365070124,0.692769060664738,1.04186484711717
"SUME_PB",2022,0.851608624197671,1.02265989151185,0.870905983232545
"TAIO_SC",2022,1.2944103237172,1.17357199170304,1.51908370168578
"TAUA_CE",2022,0.776283095106649,1.7038088781106,1.32263802936988
"TAUBATE_SP",2022,0.662985046442034,1.83999236662336,1.21988742463878
"TRAJANO DE MORAES_RJ",2022,0.240282984520247,1.64280151764357,0.394737251633788
"TRES MARIAS_MG",2022,0.633344320230494,4.41793676326941,2.79807515615417
"TUPANCIRETA_RS",2022,0.48421181202769,3.4250226660382,1.65843643135826
"TURMALINA_MG",2022,1.23859324701586,0.900507685330382,1.1153627379361
"VARJAO DE MINAS_MG",2022,1.30844729048462,0.503232647202834,0.65845339371595
"VARRE-SAI_RJ",2022,0.652224156946365,2.69949447567093,1.76067550857584
"VIANA_ES",2022,0.343826449242574,4.12000037606824,1.41656510018161
"VICOSA_MG",2022,0.796224153494362,1.98365498757135,1.57943401330387
"ALTO PARAISO DE GOIAS_GO",2023,0.662191243218228,1.55781220780618,1.03156960258771
"AMAPORA_PR",2023,0.404091034829679,1.54071221186695,0.622587992068041
"ANDIRA_PR",2023,0.991318590365188,1.11368581998976,1.10401745718195
"AQUIDAUANA_MS",2023,1.03114523321524,1.1306719708581,1.16588701308041
"ARMACAO DOS BUZIOS_RJ",2023,0.87575532254418,4.52970042066424,3.96690925292732
"ASSIS_SP",2023,0.69496624077511,1.48576693646854,1.03255786250549
"ATALAIA_AL",2023,0.815976248319967,0.861129080571184,0.702660876483697
"BARRO ALTO_GO",2023,0.700158902524572,1.41756259204656,0.992519068707206
"BEBERIBE_CE",2023,0.581913797860941,1.13880338839317,0.662685404756776
"BOA VISTA_RR",2023,1,Inf,Inf
"BOM DESPACHO_MG",2023,0.812235134285279,0.997053310109713,0.809841729226544
"CAAPORA_PB",2023,0.735835134371337,1.06658783408595,0.78483280221347
"CAARAPO_MS",2023,0.6232070858881,1.5040250840419,0.937319089728359
"CACADOR_SC",2023,1.73778838299588,3.72224618537147,6.46847617958924
"CACHOEIRINHA_PE",2023,0.539949849294365,1.55397633806641,0.839069289545968
"CAMACARI_BA",2023,0.880138822856987,Inf,Inf
"CANTAGALO_RJ",2023,1.1811447807519,0.847608584585936,1.00114845580418
"CARDOSO MOREIRA_RJ",2023,0.57449038005812,3.27996198258273,1.88430660595014
"CARIRIACU_CE",2023,0.563908676551833,1.58063862809203,0.891335836874082
"CERES_GO",2023,0.610384256400376,1.41801604351489,0.86553466828464
"CERQUEIRA CESAR_SP",2023,0.753406502930116,1.35015800468877,1.01721782071567
"CHOPINZINHO_PR",2023,0.0464177230422909,1.57914343976885,0.0733002428312413
"CONCEICAO DE MACABU_RJ",2023,0.778360585020584,1.06973255830335,0.832637659896559
"CRATO_CE",2023,0.853770335308292,0.910959114938032,0.777749869012788
"CRUZEIRO DO OESTE_PR",2023,0.416195004424192,1.2625995557309,0.525487627683404
"CURITIBANOS_SC",2023,0.685882095082866,1.03495196420737,0.709855021520678
"DEMERVAL LOBAO_PI",2023,0.516419619586715,1.54071221186692,0.795654014344924
"DOMINGOS MARTINS_ES",2023,0.639251128638855,1.39735558668997,0.893261135901375
"DUAS BARRAS_RJ",2023,0.717871956778487,1.30663506546945,0.937996671243945
"ENTRE-IJUIS_RS",2023,0.626048009239557,1.49156164702187,0.933789199776114
"ESCADA_PE",2023,0.818850072738804,0.809952166740051,0.663229390650043
"ESPERA FELIZ_MG",2023,0.571522875538699,1.36423093569822,0.779689187269098
"ESPERANTINA_PI",2023,0.418956502994684,1.33522720400519,0.559402120093384
"ESPIGAO DO OESTE_RO",2023,0.538522852463774,1.70479737797651,0.918072346860671
"EUSEBIO_CE",2023,0.437649649257484,9.21531426971329,4.03307905793751
"FERNANDOPOLIS_SP",2023,0.889519496370388,3.75306111780588,3.33842103535797
"FLORIANOPOLIS_SC",2023,1.25746403601724,0.761048631938192,0.956991284322399
"FORMOSA_GO",2023,0.652513450877783,1.55474848590889,1.01449429978742
"FOZ DO IGUACU_PR",2023,0.88621257364392,Inf,Inf
"GOIANIRA_GO",2023,0.5482522358301,1.38727896423052,0.760578793859448
"GOIAS_GO",2023,1,NA,NA
"GONCALVES_MG",2023,0.436863469009054,1.54071221186693,0.673080881620798
"HOLAMBRA_SP",2023,0.628866975249522,1.6457420773149,1.03495284220188
